Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T45 ,206,1452.324324,163.115868,56.953276,32.030391,1.778101,0.685932,2.494859
T66,164,1727.648132,177.804091,59.69367,36.784729,1.622784,0.686723,16.894141
T44 ,51,1428.121146,161.654328,58.768598,31.140224,1.887225,0.686752,2.849141
T68,43,1780.06287,180.452806,68.529612,35.328015,1.939809,0.686939,7.075792
T96,108,1740.089276,178.375655,67.863326,37.755753,1.79743,0.687243,3.66598
T77,118,1451.927438,162.908403,56.576559,33.715496,1.678058,0.687492,7.759661
T57,111,1306.032029,154.473842,54.045974,30.57982,1.767374,0.687787,5.650606
T14 ,80,1512.892262,166.244324,59.136705,31.641562,1.868957,0.687898,1.720978
T57,189,1368.406723,158.10037,56.916815,35.225145,1.615801,0.687954,1.085813
T67,47,1462.227823,163.38558,58.216068,35.738999,1.628923,0.688331,6.749809
T32 ,262,1471.467425,163.861424,57.696112,32.144194,1.794915,0.688664,7.593207
T22 ,225,1357.763236,157.403018,56.553818,30.173009,1.874318,0.688665,1.191957
T36 ,162,1491.363539,164.943679,57.345511,31.829095,1.80167,0.688846,1.985387
T98,174,1451.977692,162.651275,59.452988,32.222976,1.84505,0.689691,2.598713
T71,101,1168.118423,145.833556,55.249114,33.149469,1.666667,0.690211,2.628049
T2 ,250,1226.2124,149.414725,55.905131,33.298785,1.678894,0.690222,6.169967
T68,146,1479.034578,164.083166,63.148179,34.314334,1.840286,0.690335,2.498657
T36 ,218,1340.492765,156.198567,54.105159,31.446096,1.720568,0.690431,8.358333
T68,200,1685.358836,175.092846,63.96968,33.548862,1.906762,0.690821,4.895058
T50,96,1742.948196,178.039285,64.888477,33.28244,1.949631,0.690976,2.855319
T71,106,1550.274407,167.910407,59.505117,33.236689,1.790344,0.690976,9.951137
T92,99,1550.044823,167.86801,60.237217,35.138376,1.714286,0.691223,10.957496
T21 ,134,1376.780537,158.202972,55.803946,31.516964,1.7706,0.691266,9.345368
T44 ,59,1662.189941,173.816199,63.121923,37.082147,1.702219,0.691369,14.488326
T16 ,93,1480.073488,164.008209,57.074426,31.636181,1.804087,0.691452,4.875416
T44 ,111,1232.424284,149.659337,57.526561,30.60757,1.879488,0.691453,7.89461
T92,160,1308.724832,154.184548,58.307815,30.700241,1.899262,0.691794,6.96369
T49,111,1554.228887,168.0031,61.865604,33.168739,1.865178,0.691975,2.38799
T83,52,1189.932262,146.99954,53.634042,35.745295,1.50045,0.691991,6.65291
T92,138,1862.597824,183.899183,66.436296,35.117684,1.891819,0.692101,15.440868
T14 ,130,1356.564029,156.853082,56.501583,30.252622,1.867659,0.69289,5.310769
T41 ,210,1633.571344,172.101767,59.565384,37.672456,1.581139,0.69307,4.994774
T52,103,1271.298874,151.79876,55.032147,31.548241,1.744381,0.6933,6.871974
T90,30,986.899563,133.712211,50.492056,30.295234,1.666667,0.69365,3.899783
T52,129,1397.726386,159.084283,56.923548,33.262153,1.711361,0.694029,5.210133
T24 ,49,1666.233203,173.643723,59.930606,38.261603,1.566338,0.694428,11.152481
T57,182,1672.978392,173.982898,59.628894,35.55735,1.676978,0.694524,5.915181
T76,110,1428.312653,160.723655,58.490275,32.108101,1.821667,0.694822,2.398823
T65,219,1640.39102,172.203823,61.577913,33.746077,1.824743,0.695139,4.917535
T23,231,1328.17552,154.891655,55.789525,30.70383,1.817022,0.69568,8.568435
T96,29,1545.727495,167.044338,61.623275,32.933264,1.871156,0.696112,7.901082
T67,150,1667.483489,173.496175,60.579402,34.799379,1.740818,0.696132,2.144098
T82,106,1380.851776,157.878452,57.35745,31.731359,1.807595,0.696163,2.89986
T59,15,1659.488627,173.067167,60.788203,34.932318,1.740171,0.696233,6.28813
T66,83,1517.094017,165.470418,56.503485,34.302393,1.647217,0.696276,9.158906
T78,74,1214.7806,148.067085,55.683865,31.384526,1.774246,0.696291,3.235457
T66,195,1615.288582,170.706532,59.514425,34.03539,1.748604,0.696562,7.258759
T95,129,1693.591242,174.782581,62.736427,34.145351,1.837334,0.696662,1.09844
T32 ,75,1319.555044,154.272093,57.259167,30.210915,1.895314,0.696727,2.204508
T37 ,194,1479.43133,163.343517,57.719773,32.690339,1.765652,0.696788,3.498205
T28 ,18,1557.728079,167.58045,57.850422,33.716846,1.715772,0.697035,1.742404
T72,194,1568.007663,168.122856,59.61643,39.251864,1.518818,0.697115,5.940722
T33 ,50,1464.309626,162.460004,59.568758,31.384098,1.898055,0.697188,7.216332
T47,121,1457.007395,162.049537,58.975073,31.886901,1.849508,0.69723,4.37425
T68,30,1810.298897,180.578042,68.490728,35.309158,1.939744,0.697638,12.57683
T73,194,1579.420925,168.669809,63.826533,32.89051,1.940576,0.697643,10.184471
T13 ,123,1346.250496,155.678406,59.02035,32.188606,1.833579,0.698038,2.307243
T76,55,1579.000996,168.587909,61.147512,35.589922,1.718113,0.698135,15.661877
T41 ,283,1152.04178,143.997078,55.663016,31.603177,1.761311,0.698185,7.16942
T40 ,131,1292.351275,152.43687,54.864241,31.191631,1.758941,0.698893,10.477025
T82,5,1466.647773,162.38954,63.059517,33.932556,1.858378,0.698907,14.195801
T35 ,216,1434.691572,160.58783,58.716845,31.21194,1.88123,0.699106,6.070182
T52,102,1266.096095,150.808712,54.181802,34.660085,1.563233,0.699558,4.019216
T61,5,1303.122039,152.98879,55.806927,31.172706,1.79025,0.699642,4.187004
T19 ,216,1579.363057,168.397378,59.056272,33.470207,1.764443,0.699876,2.959831
T76,234,1380.19654,157.39854,56.72148,31.340836,1.809827,0.700083,10.255114
T42 ,44,1564.555034,167.560134,59.493013,32.972958,1.804297,0.70026,6.56388
T9 ,121,1723.628403,175.861988,60.129381,36.429808,1.650554,0.700341,6.581822
T81,27,1556.041655,167.074336,64.561849,33.786089,1.9109,0.700506,6.859182
T24 ,109,1112.411501,141.214661,52.387032,30.223365,1.733329,0.700996,4.502858
T86,69,1177.471895,145.280426,52.533828,35.721895,1.470634,0.701045,4.496274
T68,150,1724.519154,175.813872,63.002469,34.799993,1.810416,0.701087,9.42945
T47,6,1070.885619,138.503966,54.494697,30.422993,1.791234,0.701501,12.00496
T54,135,1551.128047,166.684143,59.788571,34.366303,1.739744,0.701567,4.971232
T42 ,48,1567.982735,167.539157,62.164422,32.675149,1.902499,0.70197,7.572878
T72,40,1596.264368,169.032003,60.128375,33.665728,1.786041,0.702064,8.653686
T90,77,1608.271256,169.652008,61.451323,33.557768,1.83121,0.702184,8.982464
T79,154,1629.017263,170.730242,60.361335,37.357497,1.615776,0.702287,4.001283
T14 ,128,1155.400542,143.782298,49.451381,32.200899,1.535714,0.702314,7.960346
T81,58,1975.951474,187.966062,67.2796,36.190963,1.859017,0.702793,16.749373
T88,75,1317.55153,153.458148,57.610118,33.801419,1.70437,0.703068,8.60737
T55,192,1567.90635,167.368072,65.356484,33.948365,1.925173,0.703371,12.292268
T42 ,11,1600.736321,169.10761,58.652725,37.791649,1.552002,0.703402,9.524213
T76,137,1348.949371,155.196605,57.180691,30.546897,1.871898,0.703787,9.271204
T96,131,1673.796365,172.845798,62.945722,37.483833,1.679277,0.704036,10.379182
T44 ,135,1402.905304,158.215489,57.016884,36.572339,1.559017,0.704272,7.114174
T63,69,1229.31923,148.082348,51.302976,32.307234,1.587972,0.704479,2.816601
T44 ,116,1447.307113,160.66891,55.615213,35.197518,1.580089,0.704542,4.233515
T67,135,1500.968517,163.620015,58.746822,32.464343,1.80958,0.704545,1.989553
