Filename,Seed,Area,PL,L,W,L/W,Circularity,Distance between IS and CG (DS)[mm]
T13 ,135,22.880571,18.463487,7.273449,4.741708,1.53393,0.84343,0.18556
T41 ,2,20.653842,18.468444,6.630473,4.672693,1.418983,0.760939,1.105079
T41 ,8,20.653842,18.468444,6.630473,4.672693,1.418983,0.760939,1.105079
T90,17,22.604675,18.491643,7.203333,4.672693,1.541581,0.830725,0.90729
T92,141,22.532891,18.535786,6.417878,5.324268,1.205401,0.824147,0.211633
T24 ,226,22.829071,18.538063,7.232191,4.9561,1.45925,0.834775,0
T20 ,51,22.464058,18.641947,7.427095,4.239251,1.751983,0.812298,0.904208
T90,189,20.806576,18.665558,6.799767,4.086152,1.664101,0.750462,1.258035
T33 ,76,24.07684,18.811743,6.616349,5.48892,1.205401,0.854971,0.609144
T96,107,22.319056,18.983725,7.011067,5.154639,1.360147,0.778257,0.235094
T36 ,23,24.590748,19.044561,6.771648,5.018439,1.349353,0.852,0.678819
T14 ,146,26.980507,19.190813,6.444286,5.750161,1.120714,0.920605,0.460306
T41 ,11,23.161808,19.23663,6.95622,5.431895,1.280625,0.786546,0.480676
T44 ,169,24.119501,19.280842,7.043396,6.304154,1.117263,0.815316,0.418714
T22 ,7,27.602617,19.581529,7.035222,5.688734,1.236694,0.904622,0.616524
T36 ,160,23.402789,19.615626,7.196875,4.359741,1.650757,0.764316,1.205617
T10 ,11,23.970628,19.641253,7.492246,4.738512,1.581139,0.78082,1.085898
T92,154,24.955782,19.759113,8.012904,4.538125,1.765686,0.803242,1.352548
T96,4,24.178978,19.837774,7.731959,4.434188,1.743715,0.772079,1.348597
T41 ,38,25.669775,20.004816,7.307868,6.540868,1.117263,0.806051,0.429429
T31 ,146,26.852599,20.115878,7.137175,6.110654,1.167989,0.833908,0.918477
T24 ,2,25.429851,20.242988,7.468085,5.071373,1.472596,0.779838,0.324325
T91,163,27.435726,20.251203,7.320068,5.490051,1.333333,0.840668,0.791185
T10 ,12,23.667203,20.286603,7.652526,4.441021,1.723146,0.722667,0.015301
T38 ,127,21.617184,20.311211,7.723502,3.509072,2.20101,0.658472,2.450982
T24 ,179,28.175119,20.373423,7.991471,5.321617,1.5017,0.852997,0.23101
T18 ,186,25.364899,20.430994,7.605904,4.449991,1.709195,0.763597,0.985376
T16 ,59,28.264556,20.460477,7.385837,5.473612,1.349353,0.848439,0.225342
T30 ,1,25.42905,20.776325,7.614069,4.948458,1.538675,0.740291,0.384015
T92,148,27.499818,20.793042,7.513546,5.324268,1.411189,0.799289,0.961964
T41 ,29,29.505488,20.904802,7.720174,6.193314,1.246534,0.848439,0.663977
T94,9,30.157296,20.993774,8.051804,5.479457,1.469453,0.859847,0.328972
T92,2,23.744336,21.081383,7.952199,3.748703,2.12132,0.671385,2.778906
T94,4,28.961632,21.295726,8.391145,5.102832,1.644409,0.802505,1.276841
T10 ,19,25.184331,21.388285,8.133068,4.441021,1.831351,0.691812,0.246411
T14 ,64,28.567596,21.674122,8.758384,4.424262,1.979626,0.764189,1.422399
T10 ,25,31.252845,21.844616,7.410806,7.410806,1,0.82302,0.641507
T32 ,264,30.137456,21.850133,8.757354,4.9002,1.787142,0.793247,1.226854
T19 ,66,29.299363,21.862788,8.684124,5.047545,1.720465,0.770295,1.118142
T30 ,203,29.824194,21.913304,8.183742,4.710097,1.737489,0.780482,0.519884
T91,67,30.140656,22.404578,9.036766,4.679429,1.931168,0.754552,1.134105
T10 ,96,32.61826,22.434604,8.96704,5.078502,1.765686,0.814393,1.987479
T96,90,32.548624,22.451726,9.119488,5.102832,1.787142,0.811415,1.62607
T10 ,9,28.218588,22.489967,8.408221,5.196622,1.618017,0.70108,1.861953
T40 ,125,32.634561,22.523954,8.515941,5.322463,1.6,0.808348,1.190139
T42 ,4,36.181287,22.537892,7.691526,6.569904,1.170721,0.895091,0.613539
T41 ,20,29.800543,22.627568,8.020097,4.858435,1.650757,0.731406,2.019806
T36 ,32,30.88693,22.6585,8.719482,5.018439,1.737489,0.756001,1.5826
T40 ,70,29.8017,22.802821,8.982198,4.491099,2,0.720234,0.47143
T96,87,31.485811,22.805485,8.311606,5.307026,1.566151,0.760757,0.65657
T50,144,32.546786,22.819916,8.068059,8.068059,1,0.785398,0
T76,161,32.605742,22.840575,8.075363,8.075363,1,0.785398,0
T21 ,168,36.682214,22.874161,8.235167,6.430107,1.28072,0.880998,1.173212
T17 ,93,35.563434,23.022729,8.986454,5.333924,1.684773,0.843141,0.801774
T97,170,33.877139,23.05563,8.579029,5.575595,1.538675,0.800871,1.348313
T78,101,33.256351,23.067328,8.155532,8.155532,1,0.785398,0
T58,181,33.230376,23.076787,8.165401,7.513257,1.086799,0.784142,0.340225
T41 ,47,31.865927,23.077561,8.484892,5.774184,1.469453,0.751894,1.60093
T10 ,3,34.590527,23.213611,9.34808,5.453047,1.714286,0.806644,1.530802
T36 ,2,31.837297,23.229564,8.719482,5.018439,1.737489,0.741419,0.195388
T31 ,222,32.038723,23.277703,8.655096,4.554613,1.900292,0.743027,1.760947
T90,9,36.732597,23.385975,8.435245,5.910541,1.427153,0.844016,0.51104
T48,200,34.265318,23.414634,8.278323,8.278323,1,0.785398,0
T94,1,31.35296,23.534461,8.808251,4.404126,2,0.711344,3.23669
T10 ,250,37.169645,23.536286,9.034462,6.280552,1.438482,0.843184,0.882021
T30 ,77,37.986605,23.58626,8.410761,5.947306,1.414214,0.858069,1.392516
T41 ,54,35.406586,23.713947,9.040476,5.875493,1.538675,0.7912,0.563112
T41 ,59,33.046147,23.713947,8.502261,5.592479,1.520303,0.738453,1.441827
T38 ,97,29.552606,23.883172,9.357525,4.21738,2.218801,0.651061,2.005473
T90,72,38.530696,23.979757,8.312544,6.893562,1.205842,0.842029,1.209467
T73,1,35.99031,24.01599,8.497725,7.81904,1.086799,0.784142,0.354072
T10 ,23,31.252845,24.04798,9.118039,4.926871,1.850676,0.679113,1.694416
T90,135,33.264834,24.102734,9.735785,4.672693,2.083549,0.719553,1.885997
T69,96,36.354456,24.117863,8.526952,8.526952,1,0.785398,0
T8,75,36.35262,24.136571,8.540391,7.858298,1.086799,0.784142,0.35585
T41 ,57,37.767025,24.16394,8.908971,6.95622,1.28072,0.812806,1.243033
T91,193,32.974393,24.188492,9.150084,4.336555,2.109989,0.708221,1.838558
T35 ,111,40.77472,24.219341,8.463526,7.291943,1.160668,0.873527,0.376532
T19 ,104,36.178344,24.299958,9.800559,5.459754,1.795055,0.769923,0.011472
T82,26,37.100971,24.364227,8.614055,8.614055,1,0.785398,0
T82,112,37.100971,24.364227,8.614055,8.614055,1,0.785398,0
T94,155,39.855458,24.388509,8.311606,7.161054,1.160668,0.842029,1.025685
T48,2,37.120761,24.390244,8.630149,7.940888,1.086799,0.784142,0.35959
T48,64,37.120761,24.390244,8.630149,7.940888,1.086799,0.784142,0.35959
T20 ,67,29.702476,24.394706,9.648888,3.804844,2.535948,0.627208,1.608148
T12 ,1,39.823368,24.626195,8.848288,6.52169,1.356748,0.825189,0.186639
T13 ,179,28.56765,24.686903,9.758355,3.252785,3,0.589049,3.903342
T50,147,37.97125,24.721576,8.766218,7.426218,1.180442,0.780751,0.730518
T50,150,38.19727,24.721576,8.740397,8.740397,1,0.785398,0
T58,89,40.898924,24.764555,9.137941,7.832521,1.166667,0.838032,0.65271
T67,35,39.324138,24.837784,8.881534,8.546766,1.039169,0.80102,0.197824
T70,47,38.62143,24.858457,8.788792,8.788792,1,0.785398,0
T7,2,39.364698,25.096517,8.872959,8.872959,1,0.785398,0
T7,12,39.364698,25.096517,8.872959,8.872959,1,0.785398,0
T41 ,27,41.307683,25.513918,10.377622,5.774184,1.797245,0.797419,0.350266
T74,148,42.074273,25.717387,9.198488,8.518089,1.079877,0.799416,0.357986
T41 ,43,37.029387,25.754905,9.71687,4.858435,2,0.701514,1.512752
T63,152,43.734744,25.787761,9.412735,8.410949,1.119105,0.826436,0.184181
T71,144,42.419818,25.796907,9.224499,8.876804,1.039169,0.80102,0.205464
T41 ,66,35.996695,25.886705,9.986418,4.641013,2.151775,0.675024,1.080703
T70,85,41.839882,25.894226,9.162312,8.430549,1.086799,0.784142,0.381763
T15 ,1,40.098221,25.927189,10.349045,5.528423,1.87197,0.749591,1.804782
T98,73,44.077206,26.137083,10.13923,6.492275,1.561738,0.810792,1.383488
T7,5,42.645089,26.142205,9.250056,8.511285,1.086799,0.784142,0.385419
T7,10,42.645089,26.142205,9.250056,8.511285,1.086799,0.784142,0.385419
T7,11,42.645089,26.142205,9.250056,8.511285,1.086799,0.784142,0.385419
T8,201,45.324261,26.184627,9.222571,8.874909,1.039174,0.830707,0.300168
T19 ,139,37.324841,26.196502,10.393531,5.196765,2,0.683473,1.145897
T14 ,169,46.554601,26.21467,9.879572,6.586382,1.5,0.851302,0.603131
T52,158,43.833407,26.22321,9.376937,9.023496,1.039169,0.80102,0.208859
T76,111,43.813966,26.368594,9.44526,8.103354,1.165599,0.79186,0.725815
T41 ,28,44.405759,26.468498,10.377622,6.540868,1.586582,0.796509,0.731134
T67,1,45.041891,26.487163,9.27989,7.923294,1.171216,0.806781,1.036085
T66,166,46.216268,26.578037,9.701192,8.668705,1.119105,0.822165,0.180965
T51,174,45.949346,26.582248,9.614869,8.875264,1.083333,0.817158,0.369803
T10 ,183,49.610098,26.652313,9.477025,7.492246,1.264911,0.877627,0.833786
T14 ,20,47.61266,26.817222,9.441477,7.593696,1.243331,0.831964,0.985362
T8,55,47.771072,26.867312,9.581945,8.22062,1.165599,0.831623,0.966417
T22 ,229,42.117787,26.982297,10.185665,5.092832,2,0.726972,1.593187
T82,136,46.762683,27.112417,9.697456,8.980149,1.079877,0.799416,0.091485
T7,8,45.92548,27.187893,9.640769,8.167086,1.180442,0.780751,0.803397
T52,94,47.215213,27.243287,9.744265,9.023496,1.079877,0.799416,0.379227
T14 ,178,48.935234,27.24329,9.825879,7.273442,1.350926,0.828538,1.147844
T57,142,48.018613,27.277824,9.556902,8.159811,1.171216,0.810961,1.061938
T57,146,48.018613,27.277824,9.556902,8.159811,1.171216,0.810961,0.530152
T59,121,47.028539,27.277824,9.87534,7.771393,1.27073,0.79424,1.114958
T50,156,46.672995,27.295574,9.80093,8.096024,1.210585,0.787211,0.213977
T55,151,46.617632,27.481005,9.775794,7.949389,1.229754,0.775702,0.977579
T62,231,49.590548,27.561645,10.054963,8.66985,1.159762,0.820349,0.712851
T59,95,50.4938,27.689977,10.208102,8.443066,1.209052,0.827566,0.880009
T72,141,49.808429,27.809001,9.713324,9.023172,1.076487,0.80936,0.635774
T30 ,129,49.497698,28.004127,10.670294,6.983207,1.527993,0.793142,0.366932
T91,102,50.878458,28.023757,9.802522,7.069428,1.386608,0.814125,0.742797
T18 ,58,43.943574,28.092617,10.160688,6.132075,1.656974,0.699714,0.737128
T58,111,52.508254,28.18648,10.16427,8.510298,1.194349,0.830531,0.444831
T91,46,50.878458,28.197923,10.277213,7.320068,1.403978,0.804099,0.522037
T15 ,207,52.375852,28.219629,10.866197,6.876187,1.580265,0.826491,1.592536
T68,134,50.881773,28.298943,10.245014,8.402091,1.219341,0.79842,0.561377
T30 ,215,44.997907,28.429099,10.998687,5.216132,2.10859,0.699642,1.080525
T20 ,118,49.670527,28.46252,11.227124,6.513993,1.723539,0.770481,1.636769
T50,152,48.820179,28.524895,10.284797,6.856532,1.5,0.753982,1.977846
T50,153,48.820179,28.524895,10.284797,6.856532,1.5,0.753982,1.977846
T50,149,52.323479,28.64025,10.469928,8.096024,1.293218,0.801591,1.206532
T9 ,1,50.759338,28.882113,11.316417,6.10036,1.855041,0.764659,1.107659
T10 ,6,43.693297,28.911039,11.085459,5.425154,2.043345,0.656897,0.100173
T50,137,53.340566,28.918742,10.469928,8.766218,1.194349,0.80151,0.274073
T17 ,69,44.098658,28.95758,11.554205,5.038534,2.293168,0.660862,0.222939
T41 ,14,44.995869,29.014042,10.546833,7.388177,1.427529,0.671686,1.747139
T48,47,55.443189,29.100904,10.347904,9.658044,1.071429,0.822707,0.509994
T40 ,57,57.223796,29.140886,11.154338,7.436226,1.5,0.8468,0.547437
T50,161,52.775518,29.197233,10.469928,8.766218,1.194349,0.777963,0.912391
T69,108,55.920222,29.264333,10.68235,9.264821,1.153001,0.820543,0.38058
T50,166,55.826779,29.312588,10.174324,8.843229,1.150521,0.816477,0.455927
T36 ,18,54.170924,29.315313,10.43154,7.99451,1.304838,0.792113,1.089133
T36 ,67,56.546841,29.315313,10.465649,7.629547,1.371726,0.826855,1.342207
T68,226,55.144121,29.331216,10.590232,9.131384,1.159762,0.805469,0.419679
T64,204,57.341698,29.531649,10.9018,9.127814,1.194349,0.826238,0.187962
T82,11,55.78028,29.563269,10.79147,8.643913,1.248447,0.802021,0.378041
T31 ,226,43.102455,29.601353,11.876977,3.958992,3,0.618143,4.172257
T56,1,57.164746,29.762476,10.42741,8.903062,1.171216,0.810961,1.158666
T74,33,60.387593,29.802802,10.915699,9.198488,1.186684,0.854365,0.239548
T52,154,59.83195,29.829725,11.18601,9.023496,1.239654,0.844976,0.009108
T29 ,113,49.185367,29.868521,11.696017,4.997694,2.340283,0.692817,1.891533
T50,158,56.278817,29.869572,10.778402,9.436717,1.142177,0.792678,0.743373
T7,9,56.996802,30.018683,10.727864,9.988923,1.073976,0.794835,0.383263
T16 ,117,62.464669,30.105638,10.267755,8.097763,1.267974,0.866061,0.788665
T82,58,56.553217,30.157945,10.862859,8.325063,1.304838,0.781383,1.392545
T29 ,142,50.53028,30.231643,11.371179,6.471817,1.75703,0.694765,2.212547
T7,13,57.406851,30.324958,10.727864,9.988923,1.073976,0.784464,0.383138
T50,106,62.042311,30.378773,10.778402,9.436717,1.142177,0.844807,0.666304
T58,17,62.09394,30.414971,11.115252,9.161223,1.213294,0.843498,0.983403
T50,151,55.826779,30.426555,10.944873,7.51697,1.456022,0.757787,1.954442
T70,208,58.736757,30.466331,10.776479,8.188473,1.316055,0.795206,0.7891
T19 ,35,44.076433,30.530216,12.13512,4.162312,2.915476,0.594233,2.250692
T54,220,58.042699,30.557405,10.867579,7.942914,1.368211,0.781132,0.550378
T98,49,62.838932,30.612756,11.164669,8.633243,1.293218,0.842624,1.438336
T28 ,88,64.562876,30.714047,11.238949,7.698295,1.459927,0.86004,1.10443
T43 ,10,59.333893,30.75916,11.746459,7.195639,1.632441,0.788068,1.208656
T31 ,131,57.393108,30.794532,11.208008,9.172266,1.221945,0.760541,1.029417
T63,90,62.946388,30.935757,11.42975,9.754699,1.171717,0.826531,0.588361
T41 ,39,61.07636,30.945814,11.913077,7.307868,1.630171,0.801455,0.863747
T37 ,104,67.601643,30.977561,10.302688,9.207183,1.118984,0.885264,1.19741
